# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.wait.ms,1774176113157000000,1774176139926000000,0
writeAction.median.wait.ms,1774176113157000000,1774176139926000000,0
writeAction.count,1774176113157000000,1774176139926000000,1
writeAction.max.wait.ms,1774176113157000000,1774176139926000000,0
workspaceModel.global.updates.count,1774176113157000000,1774176139926000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1774176113157000000,1774176139926000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1774176113157000000,1774176139926000000,0
jps.load.initial.state.ms,1774176113157000000,1774176139926000000,50
workspaceModel.global.apply.state.to.project.builder.ms,1774176113157000000,1774176139926000000,0
workspaceModel.save.cache.to.file.ms,1774176113157000000,1774176139926000000,0
jps.global.get.library.ms,1774176113157000000,1774176139926000000,0
jps.global.get.library.by.name.ms,1774176113157000000,1774176139926000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1774176113157000000,1774176139926000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1774176113157000000,1774176139926000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774176113157000000,1774176139926000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1774176113157000000,1774176139926000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774176113157000000,1774176139926000000,3
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774176113157000000,1774176139926000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774176113157000000,1774176139926000000,0
jps.save.global.entities.ms,1774176113157000000,1774176139926000000,0
workspaceModel.sync.entities.ms,1774176113157000000,1774176139926000000,0
workspaceModel.global.apply.state.to.project.ms,1774176113157000000,1774176139926000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1774176113157000000,1774176139926000000,0
workspaceModel.load.cache.from.file.ms,1774176113157000000,1774176139926000000,1
jps.global.initialize.library.bridges.ms,1774176113157000000,1774176139926000000,0
workspaceModel.do.save.caches.ms,1774176113157000000,1774176139926000000,0
jps.library.entities.serializer.load.entities.ms,1774176113157000000,1774176139926000000,0
workspaceModel.mutableEntityStorage.entities.ms,1774176113157000000,1774176139926000000,14
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1774176113157000000,1774176139926000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1774176113157000000,1774176139926000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1774176113157000000,1774176139926000000,0
workspaceModel.global.updates.ms,1774176113157000000,1774176139926000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1774176113157000000,1774176139926000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1774176113157000000,1774176139926000000,0
jps.global.handle.changed.events.ms,1774176113157000000,1774176139926000000,0
jps.app.storage.content.reader.load.component.ms,1774176113157000000,1774176139926000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1774176113157000000,1774176139926000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1774176113157000000,1774176139926000000,0
jps.global.get.libraries.ms,1774176113157000000,1774176139926000000,0
jps.library.entities.serializer.save.entities.ms,1774176113157000000,1774176139926000000,0
